Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,72,Accommodation and Food Services,17172
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q1,54,"Professional, Scientific, and Technical Services",2949
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,42,Wholesale Trade,17202
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,61,Educational Services,17214
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,23,Construction,17221
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,42,Wholesale Trade,17227
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,61,Educational Services,17234
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q2,23,Construction,17244
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,61,Educational Services,17245
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,61,Educational Services,17292
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q1,A03,22-24,3000
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q1,A02,19-21,3059
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,56,Administrative and Support and Waste Management and Remediation Services,17350
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,42,Wholesale Trade,17354
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,56,Administrative and Support and Waste Management and Remediation Services,17393
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,42,Wholesale Trade,17408
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,56,Administrative and Support and Waste Management and Remediation Services,17439
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,56,Administrative and Support and Waste Management and Remediation Services,17468
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,23,Construction,17533
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2016Q3,0,All,42865
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,42,Wholesale Trade,17579
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q1,A07,55-64,3072
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,23,Construction,17619
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,56,Administrative and Support and Waste Management and Remediation Services,17641
Separations,Mid-Maryland WIA,Maryland Separations by Education,2016Q4,E1,Less than High school,4455
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2016Q4,0,All,36512
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,23,Construction,17733
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,23,Construction,17750
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,42,Wholesale Trade,17758
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,56,Administrative and Support and Waste Management and Remediation Services,17767
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,23,Construction,17795
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2017Q1,0,All,28967
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q2,42,Wholesale Trade,17801
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,23,Construction,17821
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,23,Construction,17866
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,42,Wholesale Trade,17891
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,72,Accommodation and Food Services,17898
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q1,A06,45-54,4156
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,23,Construction,17924
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,42,Wholesale Trade,17946
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,42,Wholesale Trade,18015
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,72,Accommodation and Food Services,18051
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,42,Wholesale Trade,18069
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,42,Wholesale Trade,18075
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2017Q2,0,All,34286
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,23,Construction,18078
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q1,56,Administrative and Support and Waste Management and Remediation Services,4203
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,72,Accommodation and Food Services,18106
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2017Q3,0,All,39710
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,56,Administrative and Support and Waste Management and Remediation Services,18276
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,56,Administrative and Support and Waste Management and Remediation Services,18281
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,61,Educational Services,18293
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2017Q4,0,All,35529
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,61,Educational Services,18412
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,23,Construction,18420
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,72,Accommodation and Food Services,18433
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q2,72,Accommodation and Food Services,18476
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q1,44-45,Retail Trade,4350
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2018Q1,0,All,29845
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,72,Accommodation and Food Services,18652
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,72,Accommodation and Food Services,18675
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,42,Wholesale Trade,18736
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q1,72,Accommodation and Food Services,4458
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,42,Wholesale Trade,18768
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,72,Accommodation and Food Services,18822
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2018Q2,0,All,35277
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,72,Accommodation and Food Services,18882
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,61,Educational Services,18890
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,61,Educational Services,18895
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2018Q3,0,All,41239
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2018Q4,0,All,35830
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2019Q1,0,All,29305
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,72,Accommodation and Food Services,19011
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,56,Administrative and Support and Waste Management and Remediation Services,19035
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q2,61,Educational Services,19039
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,61,Educational Services,19042
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,72,Accommodation and Food Services,19049
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,61,Educational Services,19102
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q1,A05,35-44,5131
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,61,Educational Services,19200
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2019Q2,0,All,34977
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,61,Educational Services,19263
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,72,Accommodation and Food Services,19275
Separations,Mid-Maryland WIA,Maryland Separations by Education,2017Q1,E1,Less than High school,3600
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,61,Educational Services,19441
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,61,Educational Services,19443
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,72,Accommodation and Food Services,19444
Separations,Mid-Maryland WIA,Maryland Separations by Gender All,2019Q3,0,All,N/A
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,56,Administrative and Support and Waste Management and Remediation Services,19577
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,72,Accommodation and Food Services,19733
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2018Q3,0,All Sexes,0.089
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2018Q4,0,All Sexes,0.083
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2019Q3,0,All Sexes,N/A
Separations,Mid-Maryland WIA,Maryland Separations by Education,2017Q2,E1,Less than High school,4106
Separations,Mid-Maryland WIA,Maryland Separations by Education,2017Q3,E1,Less than High school,4039
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2016Q1,1,Male,0.083
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2016Q2,1,Male,0.084
Separations,Mid-Maryland WIA,Maryland Separations by Education,2017Q4,E1,Less than High school,4357
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q1,A04,25-34,7759
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2016Q3,1,Male,0.091
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2016Q4,1,Male,0.082
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2017Q1,1,Male,0.081
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2017Q2,1,Male,0.081
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2017Q3,1,Male,0.089
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,62,Health Care and Social Assistance,24690
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,44-45,Retail Trade,24833
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,62,Health Care and Social Assistance,24845
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,44-45,Retail Trade,24881
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,62,Health Care and Social Assistance,24899
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,62,Health Care and Social Assistance,24975
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,62,Health Care and Social Assistance,25090
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,44-45,Retail Trade,25363
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q2,62,Health Care and Social Assistance,25374
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,62,Health Care and Social Assistance,25551
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,44-45,Retail Trade,25578
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,44-45,Retail Trade,25654
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,44-45,Retail Trade,25783
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,62,Health Care and Social Assistance,25899
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q2,44-45,Retail Trade,25916
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,62,Health Care and Social Assistance,25974
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,44-45,Retail Trade,26129
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,44-45,Retail Trade,26165
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,44-45,Retail Trade,26279
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,44-45,Retail Trade,26606
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,62,Health Care and Social Assistance,26846
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,62,Health Care and Social Assistance,26886
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,44-45,Retail Trade,27160
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,44-45,Retail Trade,27225
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,44-45,Retail Trade,27333
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,44-45,Retail Trade,27426
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2017Q4,1,Male,0.082
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2018Q2,1,Male,0.083
Separations,Mid-Maryland WIA,Maryland Separations by Education,2018Q1,E1,Less than High school,3691
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q1,62,Health Care and Social Assistance,28039
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,62,Health Care and Social Assistance,28078
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,62,Health Care and Social Assistance,28406
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q3,62,Health Care and Social Assistance,28440
Separations,Mid-Maryland WIA,Maryland Separations by Age All,2019Q1,A00,All,29305
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,22,Utilities,10
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,21,"Mining, Quarrying, and Oil and Gas Extraction",26
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,11,"Agriculture, Forestry, Fishing and Hunting",299
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,92,Public Administration,354
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,55,Management of Companies and Enterprises,425
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,53,Real Estate and Rental and Leasing,446
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,51,Information,485
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,52,Finance and Insurance,773
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2018Q3,1,Male,0.09
Separations,Mid-Maryland WIA,Maryland Separations by Education,2018Q2,E1,Less than High school,4319
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2018Q4,1,Male,0.081
Separations,Mid-Maryland WIA,Maryland Separations by Education,2018Q3,E1,Less than High school,4270
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2019Q2,1,Male,N/A
Separations,Mid-Maryland WIA,Maryland Separations by Education,2018Q4,E1,Less than High school,4429
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2019Q3,1,Male,N/A
Separations,Mid-Maryland WIA,Maryland Separations by Education,2019Q1,E1,Less than High school,3629
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,48-49,Transportation and Warehousing,784
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,81,Other Services (except Public Administration),1015
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,31-33,Manufacturing,1133
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,71,"Arts, Entertainment, and Recreation",1316
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,42,Wholesale Trade,1964
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q2,A01,14-18,2146
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,54,"Professional, Scientific, and Technical Services",34793
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,54,"Professional, Scientific, and Technical Services",34862
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q2,A08,65-99,2216
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,23,Construction,2223
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,61,Educational Services,2232
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q1,54,"Professional, Scientific, and Technical Services",35093
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Gender,2016Q1,2,Female,0.091
Separations,Mid-Maryland WIA,Maryland Separations by Education,2019Q2,E1,Less than High school,4266
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,62,Health Care and Social Assistance,3161
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q2,A02,19-21,3232
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,54,"Professional, Scientific, and Technical Services",3283
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,54,"Professional, Scientific, and Technical Services",35467
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q2,A03,22-24,3429
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q2,A07,55-64,3840
Separations,Mid-Maryland WIA,Maryland Separations by Education,2019Q3,E1,Less than High school,N/A
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,54,"Professional, Scientific, and Technical Services",35577
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q2,54,"Professional, Scientific, and Technical Services",35631
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,54,"Professional, Scientific, and Technical Services",35775
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,44-45,Retail Trade,4414
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q2,56,Administrative and Support and Waste Management and Remediation Services,4785
Separations,Mid-Maryland WIA,Maryland Separations by Age,2019Q2,A06,45-54,4989
